observation_id,source_id,pdf_page,inspection,image_type,title,stated_purpose,tradition,likely_lineage,numerology,primitive_geometry,construction_grammar,spatial_arrangement,graph_connectivity,symmetry,enclosure,axes,paths,repeated_motifs,extraction_confidence,classification,lineage_weight,visual_evidence_ref,notes,authoritative_status,batch,record_version,supersedes_observation_id,source_claim_class,recovery_status
OBS-000023,SRC-000008,63,visually_inspected/text_only,textual balance-vessel suggestion,Yin/Yang-Styled Cup for Balance,Reinforce balance and symmetry through equal ingredient measures and a yin/yang-styled drinking vessel.,modern eclectic witchcraft correspondence system,yin-yang balance vessel suggestion,equal measures across herbs and juices,yin-yang styled cup named but not pictured,keep ingredients even and optionally drink from a yin/yang-styled cup,paired balance concept applied to vessel and recipe proportions,,bilateral/complementary balance implied,cup is a local container,,,paired complementary halves; equalized ingredient quantities,0.99,textual_shape_correspondence,1,PDF page 63 / printed page 68,"No cup image is present. Stored as a source-scoped design suggestion, not as a measured yin-yang geometry.",VERIFIED,2,1,,authorial_correspondence_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000024,SRC-000008,99;101-104,visually_inspected/text_only,textual correspondence framework,Season Element Direction and Time Framework,"Assign Spring/Air/East/dawn, Summer/Fire/South/noon, Fall/Water/West/dusk, and Winter/Earth/North/midnight.",modern eclectic witchcraft correspondence system,four-season elemental-cardinal framework,four seasons; four elements; four cardinal directions; four preparation times,no diagram; four-part correspondence system described in text,"map each season to one element, direction, and time of day",four ordered correspondence groups,,cardinal fourfold organization,,East/South/West/North axes implied,Spring → Summer → Fall → Winter cycle implied,four repeated season-element-direction-time tuples,0.99,textual_correspondence_framework,0.25,"PDF pages 99, 101-104 / printed pages 104, 106-109",One source framework containing four tuples; lineage weight reduced so the four assignments do not count as independent traditions.,VERIFIED,2,1,,authorial_correspondence_framework,SOURCE_RECHECKED_TEXT_ONLY
OBS-000025,SRC-000008,132,visually_inspected/text_only,natural-form symbolic attribution,Star Fruit as Natural Pentagram Form,"Use sliced star fruit as a garnish in a recipe associated with divination, prophecy, creativity, and Air-related magic because its natural cross-section resembles a pentagram.",modern eclectic witchcraft recipe symbolism,natural pentagram-shaped botanical form,five-point natural cross-section implied,pentagram-like star-fruit cross-section described but not illustrated,slice star fruit and place it as a garnish; interpret its natural form symbolically,natural five-point form applied as a decorative and semantic payload,,fivefold radial form implied,natural fruit boundary,,,five-point star/pentagram resemblance,0.99,textual_natural_form_attribution,1,PDF page 132 / printed page 137,"The source makes an explicit pentagram-shape comparison, but no star-fruit image or measured geometry appears.",VERIFIED,2,1,,authorial_natural_form_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000026,SRC-000009,31,visually_inspected,instructional sigil,Qabala Baphometa Activation Sigil,Activate or address the Qabala Baphometa/Kylkhor construct within the source's modern instructional system.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,The accompanying text invokes 72 forces; that count is not visibly encoded in the figure.,elongated cursive line; loops; sharp peaks; small circles; terminal spiral; letter payload,"combine a largely continuous handwritten path with angular peaks, looped returns, circular terminals, and a short textual payload",single elongated horizontal glyph field,mostly connected main stroke with minor detached textual components,asymmetrical,none,dominant horizontal axis,left-to-right calligraphic traversal with loop-backs,loops; angular peaks; circles; terminal spiral,0.99,verified_visual_group,0.125,PDF page 31 / printed page 31,"Modern instructional figure, not an ancient artifact. The text's 72-force claim is retained separately from the visible geometry.",VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000027,SRC-000009,38,visually_inspected,instructional sigil,Magical Battery Sigil,"Represent, charge, or activate a magical battery in the source's modern system.",modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,left star; circles; angular zigzags; cross-like marks; terminal spiral,"assemble a left-to-right composite from a star-like opening, circular nodes, angular connectors, crosses, and a spiral terminal",elongated horizontal composite,partly connected chain with several distinct nodes,asymmetrical,none,dominant horizontal axis,serial left-to-right progression,star; circles; zigzags; crosses; terminal spiral,0.99,verified_visual_group,0.125,PDF page 38 / printed page 38,"Classified within the same authorial cursive-angular family as the other large sigils, while preserving its distinct component sequence.",VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000028,SRC-000009,43,visually_inspected,circle-band sigil sequence,Golem Triple-Circle Band Sequence,Populate the interstitial bands of a triple ritual circle used for Golem evocation.,modern German Baphomet instructional magic,LIN-000002 — circle-band sigil sequences,triple circle stated in the adjacent instructions,small disconnected glyphs; crosses; circles; arrows; triangles; star-like and letter-like marks,arrange many short glyphs in one or more linear sequences intended for placement between concentric circle boundaries,multi-row linear glyph inventory assigned to circle bands,disconnected symbol sequence,no global symmetry,external triple-circle enclosure is described but not drawn on this page,horizontal row axes; concentric-band context,serial reading/placement across rows,repeated small circles; crosses; arrows; angular marks,0.99,verified_visual_group,0.333333,PDF page 43 / printed page 43,"The page shows the glyph sequence, while the preceding instructions specify a triple magical circle. Stored as sequence geometry plus external enclosure context.",VERIFIED,2,1,,visual_circle_band_sequence,SOURCE_RECHECKED_VISUAL
OBS-000029,SRC-000009,44,visually_inspected,instructional sigil,Materialization Sigil,Serve as a visual focus for materialization in the source's ritual procedure.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,horizontal cursive-angular line; central pentagram; large terminal loops,combine a calligraphic horizontal stroke with an embedded five-point star and enlarged looped terminals,elongated horizontal glyph with a central star node,mostly connected path with an embedded star and looped extensions,asymmetrical,none,dominant horizontal axis,left-to-right traversal with looped returns around the central star,central pentagram; repeated loops,0.99,verified_visual_group,0.125,PDF page 44 / printed page 44,"Purpose is source-stated. The figure remains a modern instructional sigil, not a cross-tradition pentagram witness.",VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000030,SRC-000009,45,visually_inspected,instructional sigil,Golem Mass Sigil,Identify or structure the Golem Mass within the source's liturgical system.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,horizontal composite; star/triangle elements; loops; central small pentagram,join angular star-like components and calligraphic loops into one elongated liturgical identity mark,elongated horizontal composite with a privileged central star,largely connected main path with embedded angular nodes,asymmetrical,none,dominant horizontal axis,serial horizontal path with looped and angular excursions,loops; triangular peaks; central star,0.99,verified_visual_group,0.125,PDF page 45 / printed page 45,Retained as a distinct observation but lineage-adjusted with the source's other large cursive-angular sigils.,VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000031,SRC-000009,50,visually_inspected,conventional symbol set,Conventional Magical Symbol Row,Provide conventional symbolic forms for the source's 'symbolic method' of contacting a magical egregor.,modern German Baphomet instructional magic,LIN-000003 — conventional magical-symbol row,approximately seven visible glyphs,"approximately seven disconnected glyphs including star, circle, triangle, cross, and planetary-like forms",select recognizable conventional forms and place them as a horizontal reference row,single horizontal row of separate symbols,fully disconnected components,mixed local symmetries; no row-level symmetry,none,horizontal row axis,left-to-right reference sequence,mixed conventional occult glyph motifs,0.99,verified_visual_symbol_set,1,PDF page 50 / printed page 50,One source-level symbol set. Individual glyphs are not counted as independent traditions or newly invented geometries.,VERIFIED,2,1,,visual_symbol_set,SOURCE_RECHECKED_VISUAL
OBS-000032,SRC-000009,59,visually_inspected,circle-band sigil sequence,Baphometum Double-Circle Band Sequence,Encode the space between a double ritual circle for evocation of a Baphometum being.,modern German Baphomet instructional magic,LIN-000002 — circle-band sigil sequences,double circle stated in the adjacent instructions,two rows of small glyphs; arrows; circles; triangles; stars; cross-like marks,arrange a disconnected sequence of compact symbols in rows for insertion between two circle boundaries,two-row linear sequence assigned to an annular band,disconnected symbol sequence,no global symmetry,external double-circle enclosure is described but not drawn on this page,horizontal row axes; annular context,serial left-to-right placement across two rows,arrows; circles; triangles; stars; crosses,0.99,verified_visual_group,0.333333,PDF page 59 / printed page 59,Stored separately from the associated page-60 entity sigil because band encoding and entity identity are distinct construction roles.,VERIFIED,2,1,,visual_circle_band_sequence,SOURCE_RECHECKED_VISUAL
OBS-000033,SRC-000009,60,visually_inspected,instructional sigil,Baphometum Evocation Sigil,Identify and focus the Baphometum evocation exercise described by the source.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,elongated cursive-angular line; loops; sharp turns; terminal curl,draw a modern calligraphic sigil as a largely continuous horizontal path with angular interruptions and looped terminals,single horizontal entity-specific glyph,mostly connected,asymmetrical,none,dominant horizontal axis,left-to-right calligraphic traversal,loops; sharp peaks; terminal curl,0.99,verified_visual_group,0.125,PDF page 60 / printed page 60,"The source specifies red ink and parchment, but medium is stored as context rather than geometry.",VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000034,SRC-000009,63,visually_inspected,circle-band sigil sequence,Pluto Triple-Circle Band Sequence,Encode the spaces of a triple circle for evocation of Pluto-associated genii in the source's system.,modern German Baphomet instructional magic,LIN-000002 — circle-band sigil sequences,triple circle stated in the adjacent instructions,multi-row compact glyphs; circles; arrows; stars; angular and letter-like marks,arrange many disconnected compact symbols in linear rows for insertion between three concentric circle boundaries,multi-row sequence assigned to two annular spaces,disconnected symbol sequence,no global symmetry,external triple-circle enclosure is described but not drawn on this page,horizontal row axes; concentric-band context,serial placement across rows,small circles; arrows; stars; angular marks,0.99,verified_visual_group,0.333333,PDF page 63 / printed page 63,The claimed planetary/underworld association remains source-scoped and does not imply an ancient Pluto lineage.,VERIFIED,2,1,,visual_circle_band_sequence,SOURCE_RECHECKED_VISUAL
OBS-000035,SRC-000009,64,visually_inspected,instructional sigil,Umoluman Sigil,Identify or evoke the entity named Umoluman within the source's modern system.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,left angular-cursive component; right rounded looped component; small circles/dots,combine two contrasting calligraphic subforms into one entity-specific mark,two-part horizontal glyph,two principal connected or closely juxtaposed subgraphs,asymmetrical,none,horizontal axis,left angular traversal followed by rounded looped traversal,loops; circles/dots; angular strokes,0.99,verified_visual_group,0.125,PDF page 64 / printed page 64,The two-part structure is preserved as an observation-level distinction inside the broader family.,VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000036,SRC-000009,70,visually_inspected,instructional sigil,Lilith Sigil,Identify or evoke Lilith within the source's modern ritual system.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,,broad calligraphic loops; central angled feature; terminal spiral,"form a wide calligraphic glyph from large loops, a central angular interruption, and a spiral terminal",broad horizontal glyph,mostly connected,asymmetrical,none,dominant horizontal axis,looping left-to-right traversal,large loops; central angle; terminal spiral,0.99,verified_visual_group,0.125,PDF page 70 / printed page 70,Operational ritual details are not reproduced; only the visible geometry and source-stated identity role are retained.,VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000037,SRC-000009,76-77,visually_inspected,instructional sigil,Urdämonium Repeated-Triangle Sigil,Identify and support the source's Urdämonium materialization or evocation work.,modern German Baphomet instructional magic,LIN-000001 — modern cursive-angular Baphomet sigil grammar,repeated triangular peaks; exact count retained visually rather than treated as independent numerology,initial star/pentagram; repeated triangular peaks; connecting baseline; terminal spiral,"begin with a star-like form, continue through a repeated angular peak sequence, and terminate in a spiral",elongated horizontal glyph with rhythmic triangular repetition,mostly connected main path,asymmetrical overall with locally repeated triangular rhythm,none,horizontal baseline axis,left-to-right repeated-peak traversal,initial star; repeated triangles; terminal spiral,0.99,verified_visual_group,0.125,PDF pages 76-77 / printed pages 76-77,A related small ritual mark on page 77 is retained in this observation's notes rather than inflated into a fourteenth principal group. Explicit ritual details are omitted.,VERIFIED,2,1,,visual_instructional_sigil,SOURCE_RECHECKED_VISUAL
OBS-000038,SRC-000009,83,visually_inspected,hybrid technical-device schematic,Sigil Machine Experimental Circuit Schematic,Illustrate the source's concept of inserting a sigil into an electrical or signal-transmission device.,modern German Baphomet instructional magic,LIN-000004 — sigil-machine device schematic,,rectangles; connectors/wires; relay or switch; coil; ground symbol; arrows; labels,connect labeled technical components into a directed signal path with a sigil insertion stage and terminal coil/ground section,horizontal device chain with a vertical terminal branch,connected technical network,functional rather than decorative symmetry,component boxes provide local enclosure,horizontal signal axis; vertical coil/ground axis,directed connector path through device components,boxes; arrows; coil; ground; labels,0.99,verified_visual_device_schematic,1,PDF page 83 / printed page 83,"Recorded only as visual and conceptual structure. Electrical values, winding specifications, and operating instructions are intentionally omitted.",VERIFIED,2,1,,visual_device_schematic,SOURCE_RECHECKED_VISUAL
OBS-000039,SRC-000010,3,visually_inspected,emblem / composite symbol,Symbol of the Seax-Wica,"Symbolize the Sun, the Moon, and the eight Sabbats or Wheel of the Year.",modern Seax-Wica,LIN-000005 — Seax-Wica emblem lineage,eight radial spokes; Sun/Moon pair; eight Sabbats named in caption,outer circle; overlapping circle/crescent partition; central eight-spoked wheel with terminal hooks,overlap two circular fields to create a crescent/lens division; place a compact eight-spoked wheel within the left field,large circular field with internal overlapping arc and small central wheel,connected circular boundaries plus a connected radial wheel,radial symmetry in the small wheel; larger composition is bilaterally imbalanced by the crescent partition,complete outer circle with internal partition,central wheel axes; vertical and horizontal diameters implied,closed circular paths plus eight radial spokes,eight spokes; paired Sun and Moon forms,0.99,verified_visual_emblem,1,PDF page 3 / frontispiece,"Caption explicitly identifies the Sun, Moon, and eight Sabbats. Treated as a modern Seax-Wica emblem, not an ancient Saxon artifact.",VERIFIED,2,1,,visual_emblem,SOURCE_RECHECKED_VISUAL
OBS-000040,SRC-000010,18,visually_inspected,rune alphabet table,Early Saxon Futhorc Table,Provide the Saxon runic alphabet favored by Seax-Wica as a writing and ritual reference.,Saxon/Anglo-Saxon runic tradition as presented by modern Seax-Wica,LIN-000008 — Saxon and Anglo-Saxon Futhorc lineage,source describes the name Futhorc from the first six letters; glyph count not normalized here,angular rune glyphs paired with Latin phonetic values,arrange rune forms in two vertical columns with corresponding sound values,two-column glyph-to-sound mapping table,disconnected glyph entries,mixed local glyph symmetries; no table-level symmetry,none,vertical column axes,top-to-bottom reading in each column,repeated rune/value pairs,0.99,verified_visual_script_table,0.5,PDF page 18 / printed page 17,"This early table and the appendix Anglo-Saxon table are two visual witnesses within one Futhorc lineage, not two independent traditions.",VERIFIED,2,1,,visual_script_table,SOURCE_RECHECKED_VISUAL
OBS-000041,SRC-000010,25,visually_inspected,ritual spatial layout,Layout of Seax-Wica Altar,"Organize altar tools, deity figures, central ritual objects, and officiant roles within a circular working space.",modern Seax-Wica ritual practice,LIN-000006 — Seax-Wica circular ritual and calendrical diagrams,circular working field; paired deity figures; four external officiant labels,outer circle; labeled circular objects; horizontal sword; book rectangle; horn; crescent-hilt detail,"place deity figures and candle across the upper field, censer/water/salt centrally, sword horizontally, book below, and officiant roles outside the boundary","bounded circular altar field with upper, middle, and lower semantic zones",objects are spatially related but mostly unconnected; boundary unifies the layout,approximate bilateral organization around a vertical centerline,complete circular boundary,vertical deity-to-book axis; horizontal sword axis,no directed path; placement grammar,paired deity figures; repeated circular vessels/candles,0.99,verified_visual_ritual_layout,0.5,PDF page 25 / printed page 31,Representational tool drawings are retained because their positions form an operative spatial layout; they are not counted as independent abstract symbols.,VERIFIED,2,1,,visual_ritual_layout,SOURCE_RECHECKED_VISUAL
