check_id,check_type,target,expected,actual,status,severity,source,detected_on,resolved_on,resolution,notes,batch,record_ids,checksum,run_id,owner,active
INT-000011,source observation recovery,SRC-000010,Recover all 14 trusted figure/alphabet groups with page-level provenance and raw versus lineage-adjusted handling,14 observations + 10 meanings + 16 claims/classifications + 11 lineages + 8 geometry families,PASS,critical,Master Checkpoint Batch 002 + fresh 88-page visual recheck,2026-07-28,,,All fourteen principal groups recovered; genealogy and music notation excluded as non-operative informational graphics.,2,"[""OBS-000039..OBS-000052"",""MEAN-000024..MEAN-000033"",""CLM-000031..CLM-000046"",""LIN-000005..LIN-000015"",""GEO-000005..GEO-000012""]",,RECOVERY-006,Symbol Atlas,True
INT-000012,source metadata completion,SRC-000010 and STG-000010,Fill source author and page count from downloaded PDF and reconcile staging page count,Author Raymond Buckland; 88 pages; staging pages_inspected 88,PASS,high,Downloaded source metadata and complete rendered-page inventory,2026-07-28,2026-07-28,Filled previously blank source metadata and replaced staging placeholder page count 0 with 88.,No evidentiary interpretation changed; this completes source metadata and visual-scope accounting.,2,"[""SRC-000010"",""STG-000010""]",,RECOVERY-006,Symbol Atlas,False
INT-000013,trusted group-count reconciliation,SRC-000010,Reconcile the trusted checkpoint count of 14 figure/alphabet groups without losing subtable or duplicate-lineage information,14 principal observation rows; Danish and Swedish-Norse retained as two subtables in one Scandinavian plate; two Futhorc witnesses lineage-adjusted together,PASS,high,Fresh 88-page visual inspection + Master Checkpoint Batch 002,2026-07-28,2026-07-28,Recorded count logic in CLM-000046 and lineage relationships in LIN-000008 and LIN-000015.,Raw principal count remains 14 while lineage adjustment is recorded separately.,2,"[""OBS-000039..OBS-000052"",""CLM-000046"",""LIN-000008"",""LIN-000015""]",,RECOVERY-006,Symbol Atlas,False
INT-000014,source observation recovery,SRC-000011,Recover all 9 trusted figures with page provenance and preserve the seven weekday plates as one lineage-adjusted template family,9 observations + 3 meanings + 10 claims/classifications + 3 lineages + 3 geometry families,PASS,critical,Master Checkpoint Batch 002 + fresh 106-page visual recheck,2026-07-28,,,"Circle of Art, protective pentacle, and seven weekday plates recovered; raw visual count 9 and lineage-adjusted family count 3.",2,"[""OBS-000053..OBS-000061"",""MEAN-000034..MEAN-000036"",""CLM-000047..CLM-000056"",""LIN-000016..LIN-000018"",""GEO-000013..GEO-000015""]",,RECOVERY-007,Symbol Atlas,True
INT-000015,source metadata completion,SRC-000011 and STG-000011,Fill source author and page count and reconcile staging page count,Author Joseph C. Lisiewski; 106 pages; staging pages_inspected 106,PASS,high,Downloaded source metadata and complete rendered-page inventory,2026-07-28,2026-07-28,Filled previously blank source metadata and replaced staging placeholder page count 0 with 106.,No evidentiary interpretation changed; this completes source metadata and visual-scope accounting.,2,"[""SRC-000011"",""STG-000011""]",,RECOVERY-007,Symbol Atlas,False
INT-000016,source observation recovery,SRC-000012,Recover all 5 trusted visual/process groups with raw count 5 and three provisional construction lineages,5 observations + 5 meanings + 6 claims/classifications + 3 lineages + 5 geometry/process families,PASS,critical,Master Checkpoint Batch 002 + fresh 82-page visual recheck,2026-07-28,,,"Component-overlay symbol, deterministic filtering/grid/path workflow, and minimal task-specific sigil recovered. Harmful operational details excluded.",2,"[""OBS-000062..OBS-000066"",""MEAN-000037..MEAN-000041"",""CLM-000057..CLM-000062"",""LIN-000019..LIN-000021"",""GEO-000016..GEO-000020""]",,RECOVERY-008,Symbol Atlas,True
INT-000017,source metadata completion,SRC-000012 and STG-000012,Fill source authors and page count and reconcile staging page count,Authors David Michael Cunningham with Taylor Ellwood and Amanda R. Wagener; 82 pages; staging pages_inspected 82,PASS,high,Downloaded source metadata and complete rendered-page inventory,2026-07-28,2026-07-28,Filled previously blank source metadata and replaced staging placeholder page count with 82.,No evidentiary interpretation changed; this completes source metadata and visual-scope accounting.,2,"[""SRC-000012"",""STG-000012""]",,RECOVERY-008,Symbol Atlas,False
INT-000018,source observation recovery,SRC-000013,Reconfirm all four pages and preserve the explicit thirteen-herb set without inventing visual geometry or universal numerology,1 text-only observation + 1 source-scoped meaning + 2 claims/classifications; 0 visual records; 0 geometry families,PASS,high,Master Checkpoint Batch 003 + fresh four-page source recheck,2026-07-28,,,The thirteen-item count is retained as editorial source structure only. No symbol geometry is promoted.,3,"[""OBS-000067"",""MEAN-000042"",""CLM-000063"",""CLM-000064""]",,RECOVERY-009,Symbol Atlas,True
INT-000019,source observation recovery,SRC-000014,Recover the three trusted text-only process groups with exact page provenance and no invented visual geometry,3 text-only observations + 3 meanings + 5 claims/classifications; 0 visual figures; 0 geometry families,PASS,critical,Master Checkpoint Batch 003 + fresh 168-page visual and textual recheck,2026-07-28,,,"Quarter pentacle calling, circle lifecycle, and cardinal-elemental correspondence framework recovered. Embedded image count 0.",3,"[""OBS-000068..OBS-000070"",""MEAN-000043..MEAN-000045"",""CLM-000065..CLM-000069""]",,RECOVERY-010,Symbol Atlas,True
INT-000020,source metadata completion,SRC-000014 and STG-000014,Record transparent authorship status and confirm page/image inventory,Unattributed personal compilation; 168 pages; 0 embedded images,PASS,high,"Title pages, PDF metadata, and complete rendered-page inventory",2026-07-28,2026-07-28,Cataloged as an unattributed personal compilation rather than inventing an author.,Source page count was already correct; this completes attribution and visual-scope accounting.,3,"[""SRC-000014"",""STG-000014""]",,RECOVERY-010,Symbol Atlas,False
INT-000021,source observation recovery,SRC-000015,"Recover both trusted historical images while separating artifact identification, representational form, and modern authorial interpretation",2 visual observations + 2 meanings + 5 claims/classifications + 2 reproduction lineages; 0 operative geometry families,PASS,critical,Master Checkpoint Batch 003 + fresh seven-page visual recheck,2026-07-28,,,Venus of Willendorf and antlered Sorcerer reproductions recovered as representational historical iconography. Operative symbol count remains zero.,3,"[""OBS-000071"",""OBS-000072"",""MEAN-000046"",""MEAN-000047"",""CLM-000070..CLM-000074"",""LIN-000022"",""LIN-000023""]",,RECOVERY-011,Symbol Atlas,True
INT-000022,source metadata completion,SRC-000015 and STG-000015,"Confirm authors, page count, and embedded-image inventory",Authors Sally Morningstar and Peter Mills; 7 pages; 2 embedded images on page 1,PASS,high,"Title heading, PDF metadata, and complete rendered-page inventory",2026-07-28,2026-07-28,Filled the source author field from the visible title heading and confirmed the trusted page/image count.,No evidentiary interpretation changed; this completes metadata and visual-scope accounting.,3,"[""SRC-000015"",""STG-000015""]",,RECOVERY-011,Symbol Atlas,False
