lineage_id,name,parent_lineage_id,tradition,source_scope,independence_group,duplicate_family,provenance_type,evidence_status,raw_instance_count,lineage_adjusted_count,first_source_id,notes,created_on,supersedes_id
LIN-000011,Malachim alphabet lineage,,Malachim magical alphabet,SRC-000010,MAGICAL-ALPHABET-SOURCE-PLATE,MALACHIM-ALPHABET,modern reproduction of inherited magical alphabet,visually_inspected,1,1,SRC-000010,One of three parallel Hebrew-letter magical-script columns.,2026-07-28,
LIN-000012,Celestial alphabet lineage,,Celestial magical alphabet,SRC-000010,MAGICAL-ALPHABET-SOURCE-PLATE,CELESTIAL-ALPHABET,modern reproduction of inherited magical alphabet,visually_inspected,1,1,SRC-000010,One of three parallel Hebrew-letter magical-script columns.,2026-07-28,
LIN-000013,Ogham Bethluisnion lineage,,Ogham / early Celtic inscription tradition,SRC-000010,OGHAM-SOURCE-LINEAGE,OGHAM-BETHLUISNION,modern reproduction of inherited stemline script,visually_inspected,1,1,SRC-000010,Stemline script plate; historical description is secondary-source context.,2026-07-28,
LIN-000014,Germanic rune lineage,,Germanic runic tradition,SRC-000010,GERMANIC-RUNE-SOURCE-LINEAGE,GERMANIC-FUTHARK,modern reproduction of inherited rune table,visually_inspected,1,1,SRC-000010,One modern reference witness for a twenty-four-rune Germanic Futhark.,2026-07-28,
LIN-000015,Scandinavian rune variants lineage,,Danish and Swedish-Norse rune traditions,SRC-000010,SCANDINAVIAN-RUNE-SOURCE-PLATE,SCANDINAVIAN-RUNE-VARIANTS,modern comparative reproduction of inherited rune variants,visually_inspected,2,1,SRC-000010,Danish and Swedish-Norse are two subtables within one principal Scandinavian plate and one source-level lineage family.,2026-07-28,
LIN-000016,Heptameron Circle of Art lineage,,ceremonial magic / Heptameron-derived ritual-circle tradition,SRC-000011,HEPTAMERON-INHERITED-FIGURES,HEPTAMERON-CIRCLE-OF-ART,modern reproduction and commentary on inherited figure,visually_inspected,1,1,SRC-000011,One concentric ritual-circle template with explicitly replaceable operation-specific names.,2026-07-28,
LIN-000017,Pentacle of Protection and Obedience lineage,,ceremonial magic / Heptameron-derived pentacle tradition,SRC-000011,HEPTAMERON-INHERITED-FIGURES,HEPTAMERON-PROTECTION-PENTACLE,modern reproduction and commentary on inherited figure,visually_inspected,1,1,SRC-000011,One interlaced six-point protective pentacle with central sacred-name payload.,2026-07-28,
LIN-000018,Heptameron day and planet plate template,,ceremonial magic / Heptameron weekday correspondences,SRC-000011,HEPTAMERON-INHERITED-FIGURES,HEPTAMERON-WEEKDAY-PLATES,modern reproduction of inherited seven-day correspondence plates,visually_inspected,7,1,SRC-000011,"Seven weekday plates share one structural template while replacing angelic, planetary, zodiacal, and heaven-name payloads.",2026-07-28,
LIN-000019,Component-overlay programming-symbol lineage,,modern entity-magic instructional practice,SRC-000012,SRC-000012-authorial-corpus,ENTITY-COMPONENT-OVERLAY,modern instructional composite with explicit component legend,visually_inspected,1,1,SRC-000012,House-protection example overlays six labeled semantic components into one centered emblem.,2026-07-28,
LIN-000020,Deterministic distillation-grid-path programming lineage,,modern entity-magic instructional practice,SRC-000012,SRC-000012-authorial-corpus,ENTITY-DISTILLATION-GRID-PATH,modern documented construction workflow and completed symbol,visually_inspected,3,1,SRC-000012,"Groups OBS-000063, OBS-000064, and OBS-000065 are successive stages of one construction chain, not three independent traditions.",2026-07-28,
LIN-000021,Minimal task-specific programming-sigil lineage,,modern entity-magic case-study practice,SRC-000012,SRC-000012-authorial-corpus,ENTITY-MINIMAL-TASK-SIGIL,modern case-study sigil,visually_inspected,1,1,SRC-000012,D’watcher figure retained for provenance and geometry; harmful operational details excluded.,2026-07-28,
LIN-000022,Paleolithic Venus figurine reproduction lineage,,Paleolithic artifact reproduction in a modern Wiccan historical narrative,SRC-000015,PREHISTORIC-ARTIFACT-REPRODUCTIONS,VENUS-WILLENDORF-REPRODUCTION,modern reproduction of a named prehistoric artifact,visually_inspected,1,1,SRC-000015,One black-and-white reproduction. Artifact identity and the authors' fertility/Earth-Mother interpretation are stored separately.,2026-07-28,
LIN-000023,Les Trois Frères Sorcerer reproduction lineage,,Paleolithic cave-art reproduction in a modern Wiccan historical narrative,SRC-000015,PREHISTORIC-ARTIFACT-REPRODUCTIONS,LES-TROIS-FRERES-SORCERER-REPRODUCTION,modern reproduction of a named prehistoric cave-art figure,visually_inspected,1,1,SRC-000015,One black-and-white reproduction. Visual description and the authors' horned-consort interpretation are stored separately.,2026-07-28,
