meaning_id,label,description,claim_scope,tradition,source_claim_ids,observation_ids,geometry_ids,supports,contradictions,confidence,status,classification,notes,created_on,supersedes_id
MEAN-000012,Qabala Baphometa or Kylkhor activation,The source assigns the page-31 sigil an activation role within its Qabala Baphometa/Kylkhor instructional system.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000017""]","[""OBS-000026""]","[""GEO-000001""]",,,0.98,provisional_source_scoped,verified_visual_meaning,"The accompanying 72-force statement is textual context, not visible numerology.",2026-07-28,
MEAN-000013,magical battery representation and charging,The source presents the page-38 sigil as the sign of a magical battery used to collect or direct magical force.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000018""]","[""OBS-000027""]","[""GEO-000001""]",,,0.98,provisional_source_scoped,verified_visual_meaning,Meaning is tied to this author's system.,2026-07-28,
MEAN-000014,ritual-circle band encoding,Compact glyph sequences are assigned to the spaces between double or triple ritual-circle boundaries.,single-source repeated construction role,modern German Baphomet instructional magic,"[""CLM-000019"",""CLM-000023"",""CLM-000025""]","[""OBS-000028"",""OBS-000032"",""OBS-000034""]","[""GEO-000002""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Three raw sequence witnesses share one construction family and one authorial source.,2026-07-28,
MEAN-000015,materialization focus,The source identifies the page-44 figure as a materialization sigil.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000020""]","[""OBS-000029""]","[""GEO-000001""]",,,0.99,provisional_source_scoped,verified_visual_meaning,No universal meaning is inferred from the embedded pentagram.,2026-07-28,
MEAN-000016,Golem Mass liturgical identity,The source identifies the page-45 figure with the Golem Mass.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000021""]","[""OBS-000030""]","[""GEO-000001""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Stored as a liturgical identity role rather than a cross-tradition geometry-purpose rule.,2026-07-28,
MEAN-000017,symbolic contact with a magical egregor,The source's symbolic method presents conventional magical symbols as contact interfaces for a magical egregor.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000022""]","[""OBS-000031""]","[""GEO-000003""]",,,0.97,provisional_source_scoped,verified_visual_meaning,"The row is one source-level symbol set, not seven independent meaning witnesses.",2026-07-28,
MEAN-000018,Baphometum entity evocation,The source assigns both a double-circle band sequence and an entity-specific sigil to a Baphometum evocation exercise.,single-source paired construction role,modern German Baphomet instructional magic,"[""CLM-000023"",""CLM-000024""]","[""OBS-000032"",""OBS-000033""]","[""GEO-000001"",""GEO-000002""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Separates environmental band encoding from the entity-specific identity glyph.,2026-07-28,
MEAN-000019,Pluto-associated genius evocation,The source assigns the page-63 triple-circle sequence to evocation of Pluto-associated genii.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000025""]","[""OBS-000034""]","[""GEO-000002""]",,,0.98,provisional_source_scoped,verified_visual_meaning,"The association is modern and source-scoped, not evidence of an ancient Pluto lineage.",2026-07-28,
MEAN-000020,Umoluman identity or evocation,The source identifies the page-64 figure as the sigil of Umoluman.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000026""]","[""OBS-000035""]","[""GEO-000001""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Entity identity and evocation role remain source-scoped.,2026-07-28,
MEAN-000021,Lilith identity or evocation,The source identifies the page-70 figure as a Lilith sigil within its ritual system.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000027""]","[""OBS-000036""]","[""GEO-000001""]",,,0.99,provisional_source_scoped,verified_visual_meaning,No claim is made that this is a historically inherited Lilith seal.,2026-07-28,
MEAN-000022,Urdämonium identity and materialization,The source identifies the repeated-triangle figure with its Urdämonium evocation or materialization work.,single-source modern instructional attribution,modern German Baphomet instructional magic,"[""CLM-000028""]","[""OBS-000037""]","[""GEO-000001""]",,,0.98,provisional_source_scoped,verified_visual_meaning,A secondary page-77 mark is folded into the same principal group.,2026-07-28,
MEAN-000023,sigil-programmed device or transmission concept,The source presents a technical schematic in which a sigil is inserted into an experimental signal or electrical device.,single-source modern experimental concept,modern German Baphomet instructional magic,"[""CLM-000029""]","[""OBS-000038""]","[""GEO-000004""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Only the conceptual topology is retained; hazardous operating specifications are excluded.,2026-07-28,
MEAN-000024,Sun Moon and eight Sabbats emblem,"The Seax-Wica emblem is explicitly said to symbolize the Sun, Moon, and eight Sabbats or Wheel of the Year.",single-source captioned visual attribution,modern Seax-Wica,"[""CLM-000031""]","[""OBS-000039""]","[""GEO-000005""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Meaning is explicit in the frontispiece caption.,2026-07-28,
MEAN-000025,Seax-Wica Futhorc writing and ritual reference,The source presents Saxon/Anglo-Saxon Futhorc tables as the rune forms favored by Seax-Wica and as writing or ritual references.,single-source lineage reference,Saxon/Anglo-Saxon runic tradition as presented by modern Seax-Wica,"[""CLM-000032"",""CLM-000044""]","[""OBS-000040"",""OBS-000052""]","[""GEO-000012""]",,,0.98,provisional_source_scoped,verified_visual_meaning,Two visual witnesses share one broad Futhorc lineage.,2026-07-28,
MEAN-000026,ritual spatial organization of tools and roles,"The circular altar diagram assigns deity figures, candle, censer, water, salt, sword, book, drinking horn, and officiant roles to defined locations.",single-source operative layout,modern Seax-Wica ritual practice,"[""CLM-000033""]","[""OBS-000041""]","[""GEO-000006""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Purpose derives from the labeled layout and adjacent instructions.,2026-07-28,
MEAN-000027,eightfold annual seasonal calendar,"The Wheel of the Year diagram organizes seasons, solstices/equinoxes, and eight Sabbats around a cycle.",single-source calendrical layout,modern Seax-Wica / modern Pagan seasonal calendar,"[""CLM-000034""]","[""OBS-000042""]","[""GEO-000007""]",,,0.99,provisional_source_scoped,verified_visual_meaning,The eightfold radial structure is visually explicit.,2026-07-28,
MEAN-000028,sympathetic human proxy construction and personalization,"The poppet diagram shows how a cloth human proxy is cut, sewn, and marked with identifying or astrological features.",single-source instructional body map,modern Seax-Wica sympathetic magic instruction,"[""CLM-000035""]","[""OBS-000043""]","[""GEO-000008""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Operational manipulation instructions are not reproduced.,2026-07-28,
MEAN-000029,directed nine-node card-reading sequence,The Path layout assigns a Significator and eight cards to a directed sequence of semantic reading positions.,single-source divination layout,modern Seax-Wica divination practice,"[""CLM-000036""]","[""OBS-000044""]","[""GEO-000009""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Nine nodes include the Significator plus eight numbered cards.,2026-07-28,
MEAN-000030,magical alphabet substitution writing,"Theban, Passing the River, Malachim, and Celestial tables provide named substitution scripts for esoteric writing.",single-source comparative script reference,magical alphabets reproduced in a modern Seax-Wica manual,"[""CLM-000037"",""CLM-000038"",""CLM-000039"",""CLM-000040""]","[""OBS-000045"",""OBS-000046"",""OBS-000047"",""OBS-000048""]","[""GEO-000010""]",,,0.98,provisional_source_scoped,verified_visual_meaning,Four distinct named lineages share one table-representation grammar.,2026-07-28,
MEAN-000031,Ogham inscription reference,The Ogham plate presents a stemline-based script described as useful for carving inscriptions on stone or wood.,single-source script reference,Ogham as reproduced in a modern Seax-Wica manual,"[""CLM-000041""]","[""OBS-000049""]","[""GEO-000011""]",,,0.98,provisional_source_scoped,verified_visual_meaning,Historical description is secondary-source context.,2026-07-28,
MEAN-000032,Germanic rune writing divination and ritual reference,The Germanic rune table is presented within a discussion of runes as writing systems used for divinatory and ritual purposes.,single-source script reference,Germanic runic tradition as reproduced in a modern Seax-Wica manual,"[""CLM-000042""]","[""OBS-000050""]","[""GEO-000012""]",,,0.97,provisional_source_scoped,verified_visual_meaning,One modern reference witness; no independent artifact provenance.,2026-07-28,
MEAN-000033,Scandinavian rune variant reference,The Scandinavian plate compares Danish and Swedish-Norse rune variants with phonetic values.,single-source comparative script reference,Danish and Swedish-Norse rune traditions as reproduced in a modern Seax-Wica manual,"[""CLM-000043""]","[""OBS-000051""]","[""GEO-000012""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Two subtables are retained within one principal plate.,2026-07-28,
MEAN-000034,ritual enclosure with replaceable cosmological payload,"The Circle of Art defines a protected ritual field while its inscription bands and sectors receive operation-specific angelic, seasonal, temporal, lunar, and solar names.",single-source inherited-template reproduction,modern ceremonial magic drawing from the Heptameron,"[""CLM-000047""]","[""OBS-000053""]","[""GEO-000013""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Fixed geometry and replaceable semantic payload are explicitly distinguished by the adjacent commentary.,2026-07-28,
MEAN-000035,protection and compelled attention or obedience,The source identifies the interlaced six-point pentacle as a protective instrument that demands the appearing spirit's attention or obedience.,single-source inherited-pentacle reproduction,modern ceremonial magic drawing from the Heptameron,"[""CLM-000048""]","[""OBS-000054""]","[""GEO-000014""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Meaning remains tied to this ceremonial source and inherited figure lineage.,2026-07-28,
MEAN-000036,weekday angelic planetary and zodiacal correspondence payload,"Seven plates encode Sunday through Saturday by replacing the governing angel name or signature, planetary glyph, and related zodiacal, heaven, or angelic signs within one repeated plate structure.",single-source seven-instance template family,modern ceremonial magic reproduction of Heptameron day correspondences,"[""CLM-000049"",""CLM-000050"",""CLM-000051"",""CLM-000052"",""CLM-000053"",""CLM-000054"",""CLM-000055""]","[""OBS-000055"",""OBS-000056"",""OBS-000057"",""OBS-000058"",""OBS-000059"",""OBS-000060"",""OBS-000061""]","[""GEO-000015""]",,,0.99,provisional_source_scoped,verified_visual_meaning,Seven raw plates represent one inherited template family with variable semantic payload.,2026-07-28,
MEAN-000037,house protection through component-overlay symbolism,The source assigns six labeled component signs to a centered composite programming symbol for a house-protection entity.,single-source modern instructional composite,modern entity-magic instructional practice,"[""CLM-000057""]","[""OBS-000062""]","[""GEO-000016""]",,,0.99,provisional_source_scoped,verified_visual_meaning,"The six legend items are components of one source-level composite, not independent evidence traditions.",2026-07-28,
MEAN-000038,semantic distillation by deterministic filtering,"The source reduces a statement through duplicate-letter deletion, Greek-equivalent filtering, Pythagorean mapping, repeated-number deletion, reconversion, and transliteration.",single-source documented construction workflow,modern entity-magic instructional practice,"[""CLM-000058""]","[""OBS-000063""]","[""GEO-000017""]",,,0.99,provisional_source_scoped,verified_process_meaning,Stored as construction grammar rather than as a universal magical claim.,2026-07-28,
MEAN-000039,numerological coordinate-path construction,The source uses Pythagorean values and a 3×3 Lo Shu grid to convert distilled semantic material into coordinate and marker instructions for a symbol.,single-source documented construction workflow,modern entity-magic instructional practice,"[""CLM-000059""]","[""OBS-000064""]","[""GEO-000018""]",,,0.99,provisional_source_scoped,verified_process_meaning,The grid and mapping are visually explicit; numerological interpretations remain source-scoped.,2026-07-28,
MEAN-000040,inspiration and hindrance removal programming symbol,The final circular symbol is assigned to an inspiration-focused entity intended to provide inspiration or remove hindrances.,single-source completed programming-symbol example,modern entity-magic instructional practice,"[""CLM-000060""]","[""OBS-000065""]","[""GEO-000019""]",,,0.99,provisional_source_scoped,verified_visual_meaning,"Meaning is linked to the documented construction chain, not inferred from geometry alone.",2026-07-28,
MEAN-000041,destructive and harassing case-study assignment,The D’watcher symbol is assigned a destructive and harassing purpose in the source's case-study appendix.,single-source harmful case-study attribution,modern entity-magic case-study appendix,"[""CLM-000061""]","[""OBS-000066""]","[""GEO-000020""]",,,0.99,active_contextual_only,harmful_source_claim,Operational instructions and activation details are excluded; only source attribution and visible geometry are retained.,2026-07-28,
MEAN-000042,multi-purpose thirteen-herb cabinet,"The source frames thirteen selected herbs as a compact cabinet intended to address a broad range of practical, medicinal, culinary, protective, and magical needs.",single-source editorial set,modern herbal correspondence guide,"[""CLM-000063""]","[""OBS-000067""]",[],,,0.99,provisional_source_scoped,textual_correspondence_set,The count thirteen is preserved as source structure only; no universal numerological meaning is inferred.,2026-07-28,
MEAN-000043,quarter calling and fifth salute,"The source prescribes a calling pentacle, salute, and kiss at each quarter, followed by a final salute to the fifth.",single-source ritual process,modern Wiccan personal ritual compilation,"[""CLM-000065""]","[""OBS-000068""]",[],,,0.99,provisional_source_scoped,textual_ritual_process,"No pentacle image, trace order, or fifth-point location is shown.",2026-07-28,
MEAN-000044,complete ritual-circle lifecycle,"The source presents the circle as a boundary that is drawn, consecrated, activated at the quarters, used to bind the work, released, banished, and cut or opened.",single-source ritual lifecycle,modern Wiccan personal ritual compilation,"[""CLM-000066""]","[""OBS-000069""]",[],,,0.99,provisional_source_scoped,textual_ritual_process,"This is process evidence, not measured circle geometry.",2026-07-28,
MEAN-000045,cardinal elements with central Spirit,"The source maps directions to elements, tools, colors, beings, seasons, times, and qualities, while placing Spirit at the center as balance, invocation, and manifestation.",single-source five-station correspondence framework,modern Wiccan personal ritual compilation,"[""CLM-000067"",""CLM-000068""]","[""OBS-000070""]",[],,,0.99,provisional_source_scoped,textual_correspondence_framework,The four quarter tuples and central Spirit tuple are one source framework rather than five independent traditions.,2026-07-28,
MEAN-000046,fertility motherhood and Earth-Mother attribution,The authors interpret prehistoric Venus figurines as embodiments of fertility and motherhood in the form of a great Earth Mother and connect them to modern Wiccan worship.,single-source modern historical interpretation,modern Wiccan historical narrative,"[""CLM-000071""]","[""OBS-000071""]",[],,,0.9,provisional_source_scoped,historical_interpretive_claim,Interpretation is attributed to this source and does not establish prehistoric Wiccan continuity.,2026-07-28,
MEAN-000047,horned male nature and animal-world consort attribution,"The authors interpret the antlered Sorcerer image as a male consort or husband to the Goddess and as representing the human, natural, and animal worlds.",single-source modern historical interpretation,modern Wiccan historical narrative,"[""CLM-000073""]","[""OBS-000072""]",[],,,0.9,provisional_source_scoped,historical_interpretive_claim,Interpretation is source-scoped and distinct from the visual description of the reproduced artifact.,2026-07-28,
