geometry_id,name,description,primitive_geometry,construction_grammar,topology,symmetry,enclosure,axes,paths,numerology,component_count,cycle_count,lineage_ids,meaning_ids,representative_observation_ids,raw_instance_count,lineage_adjusted_count,status,confidence,provenance,notes,created_on,supersedes_id
GEO-000011,Ogham stemline-script representation,"Letter groups formed by the count, side, angle, and crossing of strokes around a central vertical stemline.",vertical stemlines; short parallel or angled strokes; phonetic labels,encode letter identity through grouped strokes positioned relative to a central line,locally connected stroke-to-stem graphs,local repetition and reflection,none,strong vertical stemline axes,top-to-bottom script sequence,variable stroke counts; repeated stroke groups around a line,many groups,minimal cycles,"[""LIN-000013""]","[""MEAN-000031""]","[""OBS-000049""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 76,Representation family based on the visible Ogham plate; historical interpretation remains secondary-source context.,2026-07-28,
GEO-000012,Runic alphabet and variant-table representation,"Tables of angular rune glyphs mapped to phonetic values, including single alphabets and aligned variant rows.",angular rune glyphs; phonetic labels; rows and columns,arrange rune forms by phonetic order; optionally align variant forms in parallel rows or columns,disconnected mapping table,mixed local glyph symmetries,none,horizontal or vertical table axes,phonetic reading order,"16, 24, or expanded Futhorc counts; repeated rune/value pairs and variant rows",many glyph components,variable local cycles,"[""LIN-000008"",""LIN-000014"",""LIN-000015""]","[""MEAN-000025"",""MEAN-000032"",""MEAN-000033""]","[""OBS-000040"",""OBS-000050"",""OBS-000051"",""OBS-000052""]",4,3,provisional_representation_family,0.98,"SRC-000010 / PDF pages 18, 77-78",Four raw visual tables represent three broad lineages because the two Futhorc witnesses are lineage-adjusted together.,2026-07-28,
GEO-000013,Concentric quartered Circle of Art payload template,"A multi-ring ritual enclosure with inscription bands, a central quartered field, four exterior stars, and variable semantic sectors.",nested circles; inscription bands; central vertical and horizontal diameters; four exterior stars,"draw several concentric boundaries, quarter the center with two axes, place stars outside the diagonal quadrants, and populate rings or sectors with operation-specific names",connected nested cycles plus axial cross; payload fields positioned within bands,fourfold axial organization with approximate radial symmetry,multiple complete concentric enclosures,vertical and horizontal axes; four diagonal exterior positions,closed ring paths and quadrant organization,multiple rings; four exterior stars; variable name payloads,multiple,multiple circular cycles,"[""LIN-000016""]","[""MEAN-000034""]","[""OBS-000053""]",1,1,provisional_visual_template,0.99,SRC-000011 / PDF page 68,Strong source-level evidence for fixed scaffold plus replaceable semantic payload. Candidate only; no DNA promotion.,2026-07-28,
GEO-000014,Interlaced six-point protection pentacle,"An interlaced upward/downward triangle network with six cross-like terminals, perimeter letters, and a privileged central sacred-name field.",two interlaced triangles; six terminal crosses; perimeter letters; central cross-like sign and text,"interlace two triangles into a hexagram, add terminal marks at all six vertices, place letters along outer edges, and insert a central sacred-name payload",connected six-point triangular network with semantic center,sixfold structural balance and local bilateral symmetry,central field enclosed by the interlaced triangles; no outer circle,three vertex-to-vertex axes,closed triangular paths crossing into a six-point network,six points; six terminal marks; central payload,multiple,several triangular cycles,"[""LIN-000017""]","[""MEAN-000035""]","[""OBS-000054""]",1,1,provisional_visual_family,0.99,SRC-000011 / PDF page 74,Modern reproduction of inherited Heptameron geometry; meaning and provenance remain source-scoped.,2026-07-28,
GEO-000015,Seven-day correspondence payload-plate template,"A repeated horizontal plate format containing a governing angel name or signature, planetary glyph, and related zodiacal, heaven, or angelic signs.",textual name/signature; planetary glyph; several detached symbolic signs,"reuse one horizontal plate scaffold for each weekday while substituting day-specific angelic, planetary, zodiacal, and heaven payloads",disconnected semantic components unified by a shared heading and row placement,no global geometric symmetry; local glyph symmetry varies,none,dominant horizontal row axis,left-to-right reading sequence,seven repeated plate instances with replaced payload,7 weekday instances,variable local cycles,"[""LIN-000018""]","[""MEAN-000036""]","[""OBS-000055"",""OBS-000056"",""OBS-000057"",""OBS-000058"",""OBS-000059"",""OBS-000060"",""OBS-000061""]",7,1,provisional_visual_template,0.99,SRC-000011 / PDF pages 87-93,Seven raw plates are one inherited template family. Semantic payload replacement is explicit across the series.,2026-07-28,
GEO-000016,Nested component-overlay house emblem,"A dense centered emblem combining a house icon with square, circular, diamond, axial, crescent, and pointed protection components.",house icon; square; circle; diamond; horizontal and vertical bars; pointed terminals; paired side arcs,"overlay source-defined semantic components around a central house, preserving nested enclosures and axial balance",connected and overlaid composite graph with nested center,strong bilateral and approximate fourfold symmetry,multiple nested enclosures around the house,"vertical, horizontal, and two diagonal axes","closed square, circle, diamond, and house paths combined with axial bars",six legend components; four pointed terminals; paired arcs,multiple,multiple closed cycles,"[""LIN-000019""]","[""MEAN-000037""]","[""OBS-000062""]",1,1,provisional_visual_family,0.99,SRC-000012 / PDF page 42,Explicit component legend provides direct evidence of compositional symbol grammar in one modern instructional source.,2026-07-28,
GEO-000017,Deterministic semantic-filtering workflow,"A serial transformation process that compresses text through deletion, alphabet filtering, numeric mapping, duplicate removal, reconversion, and transliteration.",letter strings; deletion marks; number rows; transliterated glyph rows,apply a fixed ordered series of text and number transformations to produce a reduced symbolic payload,serial directed process graph,not applicable,none,horizontal row axes and top-to-bottom stage order,input statement → reduced letters → filtered letters → numbers → unique numbers → letters → Greek forms,repeated deletion and mapping stages,multiple stages,0 geometric cycles,"[""LIN-000020""]","[""MEAN-000038""]","[""OBS-000063""]",1,1,provisional_process_family,0.99,SRC-000012 / PDF page 58,Process family rather than finished geometry; suitable for later deterministic compiler analysis but not promoted.,2026-07-28,
GEO-000018,Lo Shu 3×3 numeric coordinate scaffold,A nine-cell square grid using the arrangement 4-9-2 / 3-5-7 / 8-1-6 as a coordinate field for path and marker construction.,outer square; two vertical and two horizontal dividers; nine numeric cells,map distilled numeric values to grid positions and use ordered values or reductions as later path and marker instructions,connected square grid graph,fourfold square symmetry in the scaffold,complete square enclosure with nine cells,vertical and horizontal grid axes,ordered coordinate sequence later becomes a path,9 cells; numbers 1 through 9; Lo Shu arrangement,9 cells,multiple rectangular cycles,"[""LIN-000020""]","[""MEAN-000039""]","[""OBS-000064""]",1,1,provisional_visual_scaffold,0.99,SRC-000012 / PDF page 59,The scaffold is visually explicit. Numerological meanings remain source-scoped.,2026-07-28,
GEO-000019,Circular perimeter-payload and interior-path symbol,"A complete circular boundary with eight directional letters, a connected asymmetric interior path, circular nodes, a square marker, and a derived sex-symbol payload.",outer circle; eight letters; polyline; circular nodes; square marker; overlaid male sign,"place reduced letters directionally around a circle, connect ordered grid positions, then annotate selected nodes with prescribed shapes and derived payloads",connected path inside a complete circular enclosure with positioned perimeter labels,outer radial organization with asymmetric interior network,complete circular boundary,eight directional axes,clockwise perimeter placement plus ordered interior coordinate path,8 perimeter letters; specified start/end nodes; selected square and circle markers,multiple,one outer cycle plus path intersections,"[""LIN-000020""]","[""MEAN-000040""]","[""OBS-000065""]",1,1,provisional_visual_family,0.99,SRC-000012 / PDF pages 61-62,Completed output of the source's documented deterministic workflow.,2026-07-28,
GEO-000020,Minimal angular open-path sigil,"A sparse task-specific sigil formed by one open angular polyline, two circular terminals, and a nearby square marker.",open polyline; two circles; one square,"draw a long diagonal from one circular terminal, turn through a short zigzag, continue toward a lower terminal, and add a square marker near the lower endpoint",single connected open path with terminal annotations,asymmetrical,none,dominant descending diagonal and lower horizontal axis,top terminal → diagonal → right kink → lower terminal,two circular terminals; one square; two angular turns,4 principal markers/turns,0 cycles,"[""LIN-000021""]","[""MEAN-000041""]","[""OBS-000066""]",1,1,provisional_visual_family,0.99,SRC-000012 / PDF page 69,"Geometry retained without placement, activation, or harmful operational details.",2026-07-28,
