claim_id,record_type,source_id,observation_ids,subject,predicate,object,authorial_framework,classification,inspection_basis,supports_ids,contradicts_ids,supersedes_id,independence_weight,confidence,status,created_on,notes,batch,provenance_ref
CLM-000018,source_claim,SRC-000009,"[""OBS-000027""]",magical battery sigil,is presented as,the sign of a magical battery used to collect or direct force,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,One of eight raw witnesses in the same authorial cursive-angular family.,2,PDF page 38 / printed page 38
CLM-000019,source_claim,SRC-000009,"[""OBS-000028""]",page-43 compact glyph sequence,is assigned to,the interstitial bands of a triple magical circle for Golem evocation,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.333333,0.99,active_contextual,2026-07-28,Sequence and external triple-circle context are recorded separately.,2,PDF pages 42-43 / printed pages 42-43
CLM-000020,source_claim,SRC-000009,"[""OBS-000029""]",page-44 sigil,is identified as,a materialization sigil,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,The embedded pentagram does not create an independent pentagram lineage witness.,2,PDF page 44 / printed page 44
CLM-000021,source_claim,SRC-000009,"[""OBS-000030""]",page-45 sigil,is identified with,the Golem Mass,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,Stored as a modern liturgical identity mark.,2,PDF page 45 / printed page 45
CLM-000022,source_claim,SRC-000009,"[""OBS-000031""]",conventional magical-symbol row,is used in,a symbolic method for contacting a magical egregor,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,1,0.98,active_contextual,2026-07-28,The entire row is one source-level set; its individual glyphs are not independent traditions.,2,PDF page 50 / printed page 50
CLM-000023,source_claim,SRC-000009,"[""OBS-000032""]",page-59 compact glyph sequence,is assigned to,the band between a double circle for Baphometum evocation,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.333333,0.99,active_contextual,2026-07-28,Environmental band encoding is distinct from the page-60 entity sigil.,2,PDF page 59 / printed page 59
CLM-000024,source_claim,SRC-000009,"[""OBS-000033""]",page-60 sigil,is presented as,the magical sigil for the Baphometum evocation exercise,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,"Ink and parchment instructions are contextual, not geometric variables.",2,PDF page 60 / printed page 60
CLM-000025,source_claim,SRC-000009,"[""OBS-000034""]",page-63 compact glyph sequence,is assigned to,the spaces of a triple circle for evocation of Pluto-associated genii,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.333333,0.99,active_contextual,2026-07-28,Modern source-scoped association; no ancient lineage is inferred.,2,PDF page 63 / printed page 63
CLM-000026,source_claim,SRC-000009,"[""OBS-000035""]",page-64 sigil,is identified as,the sigil of Umoluman,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,Distinct observation within the shared cursive-angular family.,2,PDF page 64 / printed page 64
CLM-000027,source_claim,SRC-000009,"[""OBS-000036""]",page-70 sigil,is identified as,a Lilith sigil within the source's ritual system,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,No claim of historical inheritance is made by the Atlas.,2,PDF page 70 / printed page 70
CLM-000028,source_claim,SRC-000009,"[""OBS-000037""]",page-76 repeated-triangle sigil,is identified with,the source's Urdämonium evocation or materialization work,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,The small related mark on page 77 is not inflated into another principal group.,2,PDF pages 76-77 / printed pages 76-77
CLM-000029,source_claim,SRC-000009,"[""OBS-000038""]",page-83 circuit schematic,illustrates,a sigil-programmed experimental device or transmission concept,author's modern experimental instructional system,modern_instructional_device_claim,89-page visual recheck plus targeted German text review,[],[],,1,0.99,active_contextual,2026-07-28,Hazardous operating specifications are intentionally excluded; only diagram topology is retained.,2,PDF page 83 / printed page 83
CLM-000030,classification,SRC-000009,"[""OBS-000026"",""OBS-000027"",""OBS-000028"",""OBS-000029"",""OBS-000030"",""OBS-000031"",""OBS-000032"",""OBS-000033"",""OBS-000034"",""OBS-000035"",""OBS-000036"",""OBS-000037"",""OBS-000038""]",all thirteen Baphomet Magie figure groups,are classified as,"modern instructional figures from one authorial source corpus, not ancient artifacts or thirteen independent traditions",Atlas provenance and independence policy,provenance_classification,complete 89-page visual inspection and source metadata review,[],[],,1,1,active_classification,2026-07-28,Raw figure count remains 13; lineage-adjusted principal-family count is 4.,2,"Entire source; key figures on PDF pages 31, 38, 43-45, 50, 59-60, 63-64, 70, 76-77, 83"
CLM-000031,source_claim,SRC-000010,"[""OBS-000039""]",Symbol of the Seax-Wica,is explicitly captioned as symbolizing,"the Sun, the Moon, and the eight Sabbats or Wheel of the Year",frontispiece caption in a modern Seax-Wica manual,modern_instructional_visual_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Modern Seax-Wica emblem; not classified as an ancient Saxon artifact.,2,PDF page 3 / frontispiece
CLM-000032,source_claim,SRC-000010,"[""OBS-000040""]",the early Saxon Futhorc table,is presented as,the runic alphabet favored by Seax-Wica for writing and ritual reference,author's modern Seax-Wica instructional framework,modern_instructional_script_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,One of two visual witnesses within the broad Saxon/Anglo-Saxon Futhorc lineage.,2,PDF page 18 / printed page 17
CLM-000033,source_claim,SRC-000010,"[""OBS-000041""]",the circular Seax-Wica altar layout,assigns locations to,"deity figures, ritual tools, central substances, and officiant roles",author's modern Seax-Wica ritual instructions,modern_instructional_layout_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,Tool drawings are retained because their spatial positions form the operative layout.,2,PDF page 25 / printed page 31
CLM-000034,source_claim,SRC-000010,"[""OBS-000042""]",the Pagan Wheel of the Year,organizes,eight Sabbats and seasonal stations around an annual cycle,author's modern Seax-Wica calendrical framework,modern_instructional_calendar_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,Eightfold radial structure and labels are visually explicit.,2,PDF page 39 / printed page 58
CLM-000035,source_claim,SRC-000010,"[""OBS-000043""]",the male poppet diagram,shows,a cut-sew-personalize construction sequence with identifying and astrological body placements,author's modern Seax-Wica sympathetic-magic instructions,modern_instructional_bodymap_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,Operational manipulation instructions are not reproduced.,2,PDF page 58 / printed page 97
CLM-000036,source_claim,SRC-000010,"[""OBS-000044""]",The Path divination diagram,directs,a Significator and eight cards through nine semantic reading positions,author's modern Seax-Wica divination instructions,modern_instructional_divination_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,The trusted nine-position count includes the Significator plus eight numbered cards.,2,PDF page 65 / printed page 111
CLM-000037,source_claim,SRC-000010,"[""OBS-000045""]",Theban alphabet table,provides,a named substitution alphabet for magical writing,author's modern reproduction of an esoteric alphabet,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Historical lineage is named but not independently established by this modern reproduction.,2,PDF page 75 / printed page 130
CLM-000038,source_claim,SRC-000010,"[""OBS-000046""]",Passing the River alphabet,provides,a named Hebrew-letter substitution script for magical writing,author's modern comparative alphabet plate,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Distinct named lineage within a three-script comparison plate.,2,PDF page 75 / printed page 131
CLM-000039,source_claim,SRC-000010,"[""OBS-000047""]",Malachim alphabet,provides,a named Hebrew-letter substitution script for magical writing,author's modern comparative alphabet plate,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Distinct named lineage within a three-script comparison plate.,2,PDF page 75 / printed page 131
CLM-000040,source_claim,SRC-000010,"[""OBS-000048""]",Celestial alphabet,provides,a named Hebrew-letter substitution script for magical writing,author's modern comparative alphabet plate,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Distinct named lineage within a three-script comparison plate.,2,PDF page 75 / printed page 131
CLM-000041,source_claim,SRC-000010,"[""OBS-000049""]",Ogham Bethluisnion plate,presents,a stemline-based inscription system described as suitable for stone or wood,author's secondary historical description and modern reproduction,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.98,active_contextual,2026-07-28,Historical description remains secondary-source context.,2,PDF page 76 / printed page 133
CLM-000042,source_claim,SRC-000010,"[""OBS-000050""]",Germanic rune table,presents,a twenty-four-rune Futhark with phonetic values,author's modern comparative rune appendix,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,One modern reference witness for the Germanic rune lineage.,2,PDF page 77 / printed page 134
CLM-000043,source_claim,SRC-000010,"[""OBS-000051""]",Scandinavian Runes plate,compares,Danish and Swedish-Norse sixteen-rune variants with phonetic values,author's modern comparative rune appendix,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,1,0.99,active_contextual,2026-07-28,Two subtables are retained inside one principal Scandinavian plate.,2,PDF page 78 / printed page 136
CLM-000044,source_claim,SRC-000010,"[""OBS-000052""]",Anglo-Saxon rune table,presents,an expanded Futhorc with multiple documented variant rows,author's modern comparative rune appendix,modern_reproduction_script_claim,complete 88-page visual inspection,[],[],,0.5,0.99,active_contextual,2026-07-28,Second visual witness in the same broad Futhorc lineage as OBS-000040.,2,PDF page 78 / printed page 137
CLM-000045,classification,SRC-000010,"[""OBS-000039"",""OBS-000041"",""OBS-000042"",""OBS-000043"",""OBS-000044""]",the Seax-Wica emblem and instructional diagrams,are classified as,modern authorial or instructional figures distinct from reproduced historical script tables,Atlas provenance policy,provenance_classification,complete 88-page visual inspection,[],[],,1,1,active_classification,2026-07-28,Prevents modern Seax-Wica layouts from being conflated with inherited rune or alphabet lineages.,2,"PDF pages 3, 25, 39, 58, 65"
CLM-000046,count_reconciliation,SRC-000010,"[""OBS-000039"",""OBS-000040"",""OBS-000041"",""OBS-000042"",""OBS-000043"",""OBS-000044"",""OBS-000045"",""OBS-000046"",""OBS-000047"",""OBS-000048"",""OBS-000049"",""OBS-000050"",""OBS-000051"",""OBS-000052""]",the trusted checkpoint count of fourteen figure/alphabet groups,is reconciled by,treating Danish and Swedish-Norse as two subtables in one Scandinavian Runes plate while retaining early Saxon and appendix Anglo-Saxon as two witnesses in one Futhorc lineage,fresh source-level visual reconciliation,count_reconciliation,complete 88-page visual inspection,[],[],,1,1,active_classification,2026-07-28,Raw principal groups remain 14; lineage-adjusted interpretation is tracked separately.,2,"Entire source; key pages 3, 18, 25, 39, 58, 65, 75-78"
CLM-000047,source_claim,SRC-000011,"[""OBS-000053""]",the Circle of Art,combines,"a fixed concentric and quartered ritual scaffold with replaceable spirit, angel, year, season, day, hour, Moon, and Sun names",author's commentary on a reproduced Heptameron figure,inherited_template_visual_claim,complete 106-page visual inspection plus adjacent text review,[],[],,1,0.99,active_contextual,2026-07-28,"Direct evidence for fixed geometry plus replaceable semantic payload; candidate only, not a promoted DNA rule.",2,PDF page 68 / printed pages 134-135
CLM-000048,source_claim,SRC-000011,"[""OBS-000054""]",the Pentacle of Protection and Obedience,is presented as,a protective figure that compels the appearing spirit's attention or obedience,author's commentary on a reproduced Heptameron figure,inherited_pentacle_visual_claim,complete 106-page visual inspection plus adjacent text review,[],[],,1,0.99,active_contextual,2026-07-28,Interlaced six-point geometry and central sacred-name payload are visually verified.,2,PDF page 74 / printed page 147
CLM-000049,source_claim,SRC-000011,"[""OBS-000055""]",the Sunday or Lord's Day plate,encodes,"Michael, the Sun, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 87 / printed pages 172-173
CLM-000050,source_claim,SRC-000011,"[""OBS-000056""]",the Monday plate,encodes,"Gabriel, the Moon, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 88 / printed pages 174-175
CLM-000051,source_claim,SRC-000011,"[""OBS-000057""]",the Tuesday plate,encodes,"Samael, Mars, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 89 / printed pages 176-177
CLM-000052,source_claim,SRC-000011,"[""OBS-000058""]",the Wednesday plate,encodes,"Raphael, Mercury, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 90 / printed pages 178-179
CLM-000053,source_claim,SRC-000011,"[""OBS-000059""]",the Thursday plate,encodes,"Sachiel, Jupiter, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 91 / printed pages 180-181
CLM-000054,source_claim,SRC-000011,"[""OBS-000060""]",the Friday plate,encodes,"Anael, Venus, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 92 / printed pages 182-183
CLM-000055,source_claim,SRC-000011,"[""OBS-000061""]",the Saturday plate,encodes,"Cassiel, Saturn, and day-specific angelic, zodiacal, or heaven signs",author's reproduction of Heptameron weekday correspondences,inherited_template_instance_claim,complete 106-page visual inspection plus adjacent text review,[],[],,0.142857,0.99,active_contextual,2026-07-28,One of seven raw instances in one template lineage.,2,PDF page 93 / printed pages 184-185
CLM-000056,classification,SRC-000011,"[""OBS-000053"",""OBS-000054"",""OBS-000055"",""OBS-000056"",""OBS-000057"",""OBS-000058"",""OBS-000059"",""OBS-000060"",""OBS-000061""]",the nine trusted ceremonial figures,resolve into,"three inherited principal families: Circle of Art, protective pentacle, and seven-instance weekday correspondence template",Atlas lineage and provenance policy,count_and_lineage_classification,complete 106-page visual inspection,[],[],,1,1,active_classification,2026-07-28,Raw visual count 9; lineage-adjusted principal-family count 3. No DNA variable promoted.,2,"PDF pages 68, 74, 87-93"
CLM-000057,source_claim,SRC-000012,"[""OBS-000062""]",the House Protection Entity programming symbol,is constructed by overlaying,"six labeled component signs for house, Beth/house, fourfold elements, protection, balance/solidity, and lunar protection",author's modern instructional example,modern_composite_visual_claim,complete 82-page visual inspection plus component-legend review,[],[],,1,0.99,active_contextual,2026-07-28,One composite example with a documented legend; components do not count as six independent traditions.,2,PDF page 42 / printed pages 66-67
CLM-000058,source_claim,SRC-000012,"[""OBS-000063""]",the letter and Greek-equivalent filtering workflow,transforms,"a multi-part statement into a reduced symbolic payload through a fixed sequence of deletion, mapping, filtering, reconversion, and transliteration steps",author's documented construction example,modern_deterministic_process_claim,complete 82-page visual inspection plus page-level process review,[],[],,0.333333,0.99,active_contextual,2026-07-28,Strong evidence of deterministic semantic compression in one modern source lineage.,2,PDF page 58 / printed pages 98-99
CLM-000059,source_claim,SRC-000012,"[""OBS-000064""]",the Pythagorean and Lo Shu construction stage,maps,distilled letters or numbers onto a 3×3 coordinate scaffold and derives single-digit markers for later symbol construction,author's documented construction example,modern_deterministic_process_claim,complete 82-page visual inspection plus page-level process review,[],[],,0.333333,0.99,active_contextual,2026-07-28,The visible Lo Shu arrangement is 4-9-2 / 3-5-7 / 8-1-6.,2,PDF page 59 / printed pages 100-101
CLM-000060,source_claim,SRC-000012,"[""OBS-000065""]",the Emer Ipsni programming symbol,is produced by,placing reduced letters around a circle and connecting grid-derived positions into an interior path with specified node markers,author's documented completed example,modern_deterministic_visual_claim,complete 82-page visual inspection plus construction-note review,[],[],,0.333333,0.99,active_contextual,2026-07-28,Final output visibly links the filtering and grid stages to a completed circular symbol.,2,PDF pages 61-62 / printed pages 105-107
CLM-000061,source_claim,SRC-000012,"[""OBS-000066""]",the D’watcher programming symbol,is assigned to,a destructive and harassing entity scenario,source's modern case-study appendix,harmful_case_study_claim,complete 82-page visual inspection,[],[],,1,0.99,active_contextual_only,2026-07-28,"Purpose is documented for provenance only. Placement, activation, and operational harm instructions are excluded.",2,PDF pages 67-69 / printed pages 117-120
CLM-000062,classification,SRC-000012,"[""OBS-000062"",""OBS-000063"",""OBS-000064"",""OBS-000065"",""OBS-000066""]",the five trusted visual and process groups,resolve into,"three construction lineages: component-overlay composite, deterministic distillation-grid-path workflow, and minimal task-specific programming sigil",Atlas lineage and provenance policy,count_and_lineage_classification,complete 82-page visual inspection,[],[],,1,1,active_classification,2026-07-28,Raw principal group count 5; provisional construction-family count 3. No DNA variable promoted.,2,"PDF pages 42, 58-59, 61-62, 69"
CLM-000063,source_claim,SRC-000013,"[""OBS-000067""]",the thirteen-herb cabinet,is presented as,"a compact selection of easily grown herbs with multi-faceted practical, medicinal, culinary, protective, and magical uses",unattributed modern herbal guide,modern_editorial_correspondence_claim,complete four-page visual inspection plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,"The numbered set contains Comfrey, Chamomile, Red Raspberry, Fennel, Lavender, Garlic, Wormwood, Rose, Catnip, Rosemary, Capsicum, Ginger, and Peppermint.",3,PDF pages 1-4
CLM-000064,classification,SRC-000013,"[""OBS-000067""]",the explicit count of thirteen,is classified as,a source-level editorial set size without visual geometry or sufficient independent evidence for numerological promotion,Atlas evidence and promotion policy,text_only_count_classification,complete four-page visual inspection,[],[],,1,1,active_classification,2026-07-28,"No image, diagram, operative symbol plate, geometry family, lineage family, or DNA candidate is created.",3,PDF pages 1-4
CLM-000065,source_claim,SRC-000014,"[""OBS-000068""]",the quarter-calling procedure,prescribes,"a calling pentacle, salute, and kiss at each quarter followed by a final fifth salute",unattributed personal Book of Shadows compilation,textual_ritual_process_claim,complete 168-page visual inspection plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,Pentacle shape and tracing sequence are not shown and are not promoted into geometry.,3,PDF page 8
CLM-000066,source_claim,SRC-000014,"[""OBS-000069""]",the Celtic circle procedure,includes,"drawing, consecrating, aspurging, censing, quarter calling and candle lighting, binding, releasing, banishing, extinguishing, and cutting or opening the circle",unattributed personal Book of Shadows compilation,textual_ritual_lifecycle_claim,complete 168-page visual inspection plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,Detailed process evidence with no discrete diagram or measurable geometry.,3,PDF pages 23-29
CLM-000067,source_claim,SRC-000014,"[""OBS-000070""]",the cardinal correspondence framework,maps,"North to Earth and pentacles, East to Air and athame, South to Fire and wand, and West to Water and cup, with additional names, beings, colors, seasons, times, and qualities",unattributed personal Book of Shadows compilation,authorial_correspondence_framework,complete 168-page visual inspection plus direct text extraction,[],[],,0.2,0.99,active_contextual,2026-07-28,One four-quarter framework; the tuples are not independent tradition witnesses.,3,"PDF pages 12-13, 27, 30-31"
CLM-000068,source_claim,SRC-000014,"[""OBS-000070""]",Spirit as the fifth element,is placed at,"the center of the circle and associated with balance, invocation, and manifestation",unattributed personal Book of Shadows compilation,authorial_correspondence_framework,complete 168-page visual inspection plus direct text extraction,[],[],,0.2,0.99,active_contextual,2026-07-28,Central placement is textually stated but not diagrammed.,3,PDF page 32
CLM-000069,classification,SRC-000014,"[""OBS-000068"",""OBS-000069"",""OBS-000070""]",the three trusted process and correspondence groups,are classified as,text-only ritual evidence with no embedded images or discrete operative symbol plate,Atlas visual-evidence policy,text_only_source_classification,complete 168-page visual inspection; embedded image count 0,[],[],,1,1,active_classification,2026-07-28,"No geometry family, lineage family, hypothesis, or DNA candidate is created from unpictured forms.",3,"Entire 168-page source; key pages 8, 12-14, 23-32"
CLM-000070,source_claim,SRC-000015,"[""OBS-000071""]",the left image on page 1,is captioned as,"the Venus of Willendorf from Europe, approximately thirty thousand years old",Sally Morningstar and Peter Mills' modern historical narrative,historical_artifact_identification_claim,complete seven-page visual inspection and page-level text review,[],[],,1,0.99,active_contextual,2026-07-28,Records the source's caption and identification; independent archaeological verification is outside this recovery record.,3,PDF page 1
CLM-000071,source_claim,SRC-000015,"[""OBS-000071""]",prehistoric Venus figurines,are interpreted as,embodying fertility and motherhood as a great Earth Mother and remaining objects of Wiccan worship,Sally Morningstar and Peter Mills' modern historical narrative,historical_interpretive_claim,complete seven-page visual inspection and page-level text review,[],[],,1,0.9,active_contextual,2026-07-28,"This is the authors' interpretation and continuity claim, not a promoted corpus conclusion.",3,PDF page 1
CLM-000072,source_claim,SRC-000015,"[""OBS-000072""]",the right image on page 1,is captioned as,"“The Sorcerer,” a cave painting said to date back approximately twenty thousand years",Sally Morningstar and Peter Mills' modern historical narrative,historical_artifact_identification_claim,complete seven-page visual inspection and page-level text review,[],[],,1,0.99,active_contextual,2026-07-28,Records the source's caption and identification; independent archaeological verification is outside this recovery record.,3,PDF page 1
CLM-000073,source_claim,SRC-000015,"[""OBS-000072""]",the antlered Sorcerer figure,is interpreted as,a male consort or husband to the Goddess representing human beings and the natural and animal worlds,Sally Morningstar and Peter Mills' modern historical narrative,historical_interpretive_claim,complete seven-page visual inspection and page-level text review,[],[],,1,0.9,active_contextual,2026-07-28,This is a source-scoped interpretive claim rather than established artifact meaning.,3,PDF page 1
