staging_id,batch,source_title,drive_file_id,evidence_status,pages_inspected,visual_records,text_only_records,duplicate_lineage,authoritative_status,next_action,notes,checkpoint_present,verification_log_present,completed_audit_present,recovery_status,source_id_assigned,migration_notes,reviewed_on,raw_source_ref
STG-000011,2,Ceremonial Magick and Evocation,1kbM2qIi72gRVVZ73lsYK436pQuR33HCF,visually_inspected,106,9,0,3 principal families,VERIFIED,None,Heptameron template lineage,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_LINEAGES_GEOMETRY_MEANINGS_CLAIMS_RECOVERED,SRC-000011,Nine visual figure groups normalized into three inherited principal families after a fresh 106-page recheck. Fixed scaffold and replaceable semantic payload are stored separately; no DNA variable promoted.,2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000012,2,Creating Magickal Entities,1-zvbxwQ8byyUG_M4KSuPUSkSn4kpMBLn,visually_inspected,82,5,0,3 construction families,VERIFIED,None,Programming-symbol workflows,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_LINEAGES_GEOMETRY_MEANINGS_CLAIMS_RECOVERED,SRC-000012,Five trusted visual/process groups normalized into three construction lineages after a fresh 82-page recheck. Harmful case-study instructions excluded; deterministic construction evidence retained; no DNA variable promoted.,2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000013,3,13 Herbs for a Witchs Cabinet,1h7sE4nOGKg8IbVigQpoQllCY8PlTj49L,visually_inspected/text_only_reference,4,0,1,none,VERIFIED,None,No visual geometry,True,True,True,SOURCE_NORMALIZED; TEXT_ONLY_OBSERVATION_MEANING_CLAIMS_RECOVERED,SRC-000013,"One text-only thirteen-herb correspondence-set record recovered after a fresh four-page visual and textual recheck. No geometry, lineage, hypothesis, DNA candidate, or matrix change.",2026-07-28,Master Checkpoint Batch 3 + Completed Books Audit
STG-000014,3,A Book of Shadows,1FIGVhtfS_PA1IaJ8B69qdOly3dbtdxUB,visually_inspected/text_only_reference,168,0,3,none,VERIFIED,None,No discrete symbol plate,True,True,True,SOURCE_NORMALIZED; THREE_TEXT_ONLY_PROCESS_GROUPS_RECOVERED,SRC-000014,Three trusted text-only groups restored after a fresh 168-page visual and textual recheck. Embedded image count 0; named pentacles and circle remain unmeasured; no geometry or DNA promotion.,2026-07-28,Master Checkpoint Batch 3 + Completed Books Audit
STG-000015,3,A Brief History of Wicca,1rAHWD0wz2IGi-A_tjrsr0IKx60VBqgAn,visually_inspected,7,2,0,historical artifact reproductions,VERIFIED,None,"Representational, not operative",True,True,True,SOURCE_NORMALIZED; TWO_HISTORICAL_REPRODUCTIONS_AND_INTERPRETIVE_CLAIMS_RECOVERED,SRC-000015,Two page-1 historical-artifact reproductions recovered after a fresh seven-page recheck. Representational iconography and source interpretations preserved separately; operative geometry count remains zero.,2026-07-28,Master Checkpoint Batch 3 + Completed Books Audit
STG-000016,3,A Further Guide for the Solitary Practitioner,1f1DAXe4FGFbICZqqEnZ8eGeblu7eNQ2w,visually_inspected,216,70,0,approximately 8 principal families,VERIFIED,None,63 labeled shorthand/rune entries plus layouts,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000016,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 3 + Completed Books Audit
STG-000017,3,A modern approach to a medieval Magickal Art,1hsgzJOwZu_R7iUDFwU2gBW1wW7jkNbgt,visually_inspected/text_only_reference,6,0,3,none,VERIFIED,None,No figures or symbol plates,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000017,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 3 + Completed Books Audit
STG-000018,4,A Modern Goetic Grimoire,1iaEwl8PMStohIIC-WJpOpkMg8NUyncBI,visually_inspected,157,82,0,7 principal families; 72 seals in one corpus lineage,VERIFIED,None,Goetic seals and ritual figures,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000018,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 4 + Completed Books Audit
STG-000019,4,A New Walk Down An Old Path,1Sx8KBQ0jshJu1c-Gd0KoLM4L5Hbyyqx1,duplicate_file/visually_inspected,128,0,0,exact duplicate of 3rd Edition,VERIFIED,None,Duplicate content witness,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000019,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 4 + Completed Books Audit
STG-000020,4,A New Walk Down An Old Path [2nd Edition],1Yuj9IvqU0vX7fswktuSx_JFQQX3bmdK6,visually_inspected/text_only_reference,71,0,4,distinct revision,VERIFIED,None,No discrete symbol diagrams,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000020,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 4 + Completed Books Audit
STG-000021,4,A New Walk Down An Old Path [3rd Edition],14KVpDC3OpCo-NyeiExn_qoIRhg4YlXHM,exact_duplicate_file,0,0,0,exact duplicate of base edition,VERIFIED,None,SHA-256 recorded in checkpoint,True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000021,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 4 + Completed Books Audit
STG-000022,5,A Practical Guide to Witchcraft and Magic Spells,1UZyJXgDl6uvxM28TjKCRvidVqhGrVicl,visually_inspected,283,6,8,5 lineage-adjusted geometry families,VERIFIED,None,"Pentagram, amulets, invoking/banishing paths",True,True,True,SOURCE_NORMALIZED; OBSERVATION_RECOVERY_PENDING,SRC-000022,Permanent Source ID assigned; observation-level recovery will proceed in source order.,2026-07-28,Master Checkpoint Batch 5 + Completed Books Audit
